CustomerID,Frequency,Monetary,Recency,AvgOrderValue,UniqueProducts,ActiveDays,CancellationRate,Cluster,Segment
12346,1,77183.6,326,77183.6,1,0,0.5,1,VIP Customers
12347,7,4310.0,2,615.7142857142857,103,365,0.0,0,At-Risk Customers
12348,4,1797.24,75,449.31,22,282,0.0,0,At-Risk Customers
12349,1,1757.55,19,1757.55,73,0,0.0,0,At-Risk Customers
12350,1,334.40000000000003,310,334.40000000000003,17,0,0.0,0,At-Risk Customers
12352,8,2506.04,36,313.255,59,260,0.9090909090909092,0,At-Risk Customers
12353,1,89.0,204,89.0,4,0,0.0,0,At-Risk Customers
12354,1,1079.4,232,1079.4,58,0,0.0,0,At-Risk Customers
12355,1,459.4,214,459.4,13,0,0.0,0,At-Risk Customers
12356,3,2811.43,23,937.1433333333332,53,302,0.0,0,At-Risk Customers
12357,1,6207.67,33,6207.67,131,0,0.0,0,At-Risk Customers
12358,2,1168.06,2,584.03,13,149,0.0,0,At-Risk Customers
12359,4,6310.03,58,1577.5075,214,274,1.0,0,At-Risk Customers
12360,3,2662.06,52,887.3533333333334,105,148,0.0,0,At-Risk Customers
12361,1,189.9,287,189.9,10,0,0.0,0,At-Risk Customers
12362,10,5226.2300000000005,3,522.623,201,292,0.6153846153846154,0,At-Risk Customers
12363,2,552.0,110,276.0,23,132,0.0,0,At-Risk Customers
12364,4,1313.1,8,328.275,70,104,0.0,0,At-Risk Customers
12365,2,641.38,291,320.69,22,0,0.3333333333333333,0,At-Risk Customers
12367,1,168.9,4,168.9,11,0,0.0,0,At-Risk Customers
12370,4,3541.94,51,885.485,143,309,0.0,0,At-Risk Customers
12371,2,1887.96,45,943.98,63,14,0.0,0,At-Risk Customers
12372,3,1298.04,72,432.68,34,224,0.0,0,At-Risk Customers
12373,1,364.6,311,364.6,14,0,0.0,0,At-Risk Customers
12374,1,742.9300000000001,25,742.9300000000001,33,0,0.0,0,At-Risk Customers
12375,2,457.5,11,228.75,14,87,0.3333333333333333,0,At-Risk Customers
12377,2,1628.12,315,814.0600000000001,72,39,0.0,0,At-Risk Customers
12378,1,4008.62,130,4008.62,219,0,0.0,0,At-Risk Customers
12379,2,852.24,82,426.12,39,88,0.3333333333333333,0,At-Risk Customers
12380,4,2724.81,22,681.2025,77,164,0.2,0,At-Risk Customers
12381,5,1845.31,5,369.062,70,115,0.6666666666666666,0,At-Risk Customers
12383,5,1850.56,185,370.112,84,167,0.1666666666666666,0,At-Risk Customers
12384,2,585.27,29,292.635,26,92,1.0,0,At-Risk Customers
12386,2,401.9,338,200.95,10,29,0.0,0,At-Risk Customers
12388,6,2780.6600000000003,16,463.4433333333334,57,311,0.0,0,At-Risk Customers
12390,1,549.84,80,549.84,32,0,0.0,0,At-Risk Customers
12391,1,439.66,22,439.66,92,0,0.0,0,At-Risk Customers
12393,4,1582.6,72,395.65,47,260,0.0,0,At-Risk Customers
12394,2,1272.48,64,636.24,26,153,0.0,0,At-Risk Customers
12395,12,3018.63,19,251.5525,91,351,0.2,0,At-Risk Customers
12397,2,2409.9,36,1204.95,110,99,0.0,0,At-Risk Customers
12398,1,1635.66,46,1635.66,85,0,0.0,0,At-Risk Customers
12399,4,1108.65,119,277.1625,47,142,0.0,0,At-Risk Customers
12401,1,84.3,303,84.3,5,0,0.0,0,At-Risk Customers
12402,1,225.6,323,225.6,11,0,0.0,0,At-Risk Customers
12403,1,427.7,50,427.7,5,0,0.5,0,At-Risk Customers
12405,1,1710.39,149,1710.39,54,0,0.0,0,At-Risk Customers
12406,2,3415.3,22,1707.65,92,161,1.0,0,At-Risk Customers
12407,5,1708.12,50,341.624,57,214,0.0,0,At-Risk Customers
12408,5,2888.55,33,577.71,81,227,0.8888888888888888,0,At-Risk Customers
